,Ant,Betweenness,Colony,Day,group_period1,group_period2,group_period3,group_period4
0,Ant621,0.0027590198479867938,1,01,,,,
1,Ant620,0.0024058201333934316,1,01,N,C, , 
2,Ant356,0.0019296860050145419,1,01,F,F,F,F
3,Ant353,0.0030721560727799526,1,01,F, , , 
4,Ant540,0.002669632687294809,1,01,C,C,N,N
5,Ant115,0.0014292419154485834,1,01,C,F,F,F
6,Ant117,0.0037427683019989055,1,01,C,C,F,F
7,Ant113,0.005175586801172677,1,01,C,F, , 
8,Ant195,0.0011702485788165915,1,01,F, , , 
9,Ant196,0.006394112937818409,1,01,F, , , 
10,Ant191,0.004234891875722718,1,01,N,N,N,N
11,Ant190,0.0006327564322251969,1,01,N,C,C,C
12,Ant198,0.0034797606228546573,1,01,F, , , 
13,Ant518,0.002332983913450114,1,01,F,F,F,F
14,Ant318,0.00021815586380619139,1,01,F, , , 
15,Ant492,0.0040312503660775816,1,01,F,F, , 
16,Ant324,0.0014151634073580853,1,01,F,F, , 
17,Ant552,0.003990823621679066,1,01,N,N, , 
18,Ant252,0.0022865865760547865,1,01,F, , , 
19,Ant124,0.006105473709761503,1,01,C, , , 
20,Ant257,0.0020449643583756055,1,01,F,F, , 
21,Ant255,0.0023645349426714454,1,01,F,F,F,F
22,Ant26,0.002214526500052181,1,01,F,F,F,F
23,Ant27,0.003471964169842359,1,01,C,F, , 
24,Ant23,0.0024581683507246934,1,01,F,F,F,F
25,Ant29,0.0018035930691304484,1,01,N,C,C,C
26,Ant482,0.0024048860068349486,1,01,C,N,N,N
27,Ant137,0.001203799286324992,1,01,N,C, , 
28,Ant332,0.0004765317335916484,1,01,F,F, , 
29,Ant131,0.0015799954817611944,1,01,F, , , 
30,Ant127,0.001836401866690745,1,01,N,C,F,F
31,Ant139,0.001327313088030687,1,01,N,N,N,N
32,Ant560,0.004379881652939736,1,01,F,F,F,F
33,Ant564,0.0035012398486867855,1,01,C,C,F,F
34,Ant243,0.0030970037750874505,1,01,C,C,F,F
35,Ant242,0.0013393287474986748,1,01,N,N,C,C
36,Ant50,0.0019802188075239637,1,01,N,N, , 
37,Ant52,0.0016981974475542263,1,01,N,N, , 
38,Ant55,0.002193154750457,1,01,C,C,F,F
39,Ant142,0.0015556310374961458,1,01,F,F, , 
40,Ant140,0.0025612862758077467,1,01,C, , , 
41,Ant308,0.00499306950145026,1,01,F,F, , 
42,Ant148,0.0009285253697001215,1,01,F,F, , 
43,Ant149,0.000903532633936332,1,01,F,F, , 
44,Ant387,0.004720392540618326,1,01,C,F,F,F
45,Ant380,0.001003435853463165,1,01,N,N,N,N
46,Ant462,0.001422880613095622,1,01,F,F, , 
47,Ant42,0.0026584548278632335,1,01,C,C,F,F
