,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant621,0.012897384023819382,0.013541281817081457,0.013541281817261906,0.0051042555020928805,2,21,C
Ant665,0.005792541197105744,0.004398494353229108,0.0043984943534810285,0.0016156998272040678,2,21,U
Ant356,0.00883833145013021,0.008121054252967469,0.008121054253430769,0.0016129691580295301,2,21,N
Ant540,0.005898506172414749,0.0067420051985009975,0.006742005197944602,0.00014743186364306825,2,21,0
Ant227,0.010609312985716723,0.010978679935550581,0.010978679935779249,0.003682655824347682,2,21,C
Ant114,0.0062319569722475154,0.005994943496169067,0.005994943496432334,0.003341713772897736,2,21,C
Ant112,0.0047627647651974,0.005224016312708209,0.00522401631225546,0.00047013903374456677,2,21,F
Ant195,0.012522252822350855,0.01346235199633226,0.013462351996527736,0.0039798485754106725,2,21,C
Ant518,0.008396176165488739,0.008944376094388614,0.008944376094265065,0.007907237128452859,2,21,C
Ant492,0.007210137510914267,0.006281553017649226,0.006281553017947376,0.001981620908831349,2,21,N
Ant324,0.008955700150911964,0.008362127965992895,0.008362127966344245,0.0020314075922906187,2,21,C
Ant650,0.011057495587740093,0.009834052335028142,0.009834052335578936,0.001779370338918735,2,21,U
Ant556,0.00901562710136638,0.007871568868366008,0.00787156886877025,0.0020670794963595133,2,21,N
Ant552,0.005485257944133944,0.0042583373099912775,0.004258337310199709,0.004029177590446464,2,21,N
Ant256,0.008377071752183931,0.009486446646076957,0.009486446645571049,0.009254166265313469,2,21,C
Ant257,0.006756937592875487,0.005742351293943795,0.005742351294214613,0.001300433539524333,2,21,N
Ant126,0.010050710389435849,0.011019736763838342,0.011019736763560375,0.009825531721215915,2,21,C
Ant26,0.005736798129413536,0.004887575099697347,0.004887575099908409,0.0024580843881117018,2,21,0
Ant20,0.007298654715863674,0.008804912326604727,0.008804912325917869,0.00312563180962644,2,21,C
Ant5,0.010030268985818767,0.009385647923506617,0.009385647923861755,0.00678711314594646,2,21,0
Ant137,0.006185523632633066,0.0041357476877177625,0.004135747687963904,0.0006335892938814523,2,21,N
Ant400,0.00905954264332105,0.008144721648298327,0.00814472164870711,0.001575893632250831,2,21,N
Ant647,0.0015916599571313727,0.00019290119754425362,0.00019290119755301606,3.207801372938988e-06,2,21,C
Ant560,0.007576757796233325,0.006400643458942644,0.006400643459255186,0.001969704764216943,2,21,N
Ant564,0.007776034654241668,0.009818057402908316,0.009818057402163514,0.002159203885664321,2,21,C
Ant243,0.008728231336020438,0.011512463768979301,0.0115124637679483,0.0010213517688459413,2,21,F
Ant244,0.008052859399358764,0.006727062183649668,0.006727062183979047,0.0018453775926360683,2,21,N
Ant50,0.009404283085902646,0.008043312190289203,0.008043312190737374,0.00201310844586937,2,21,N
Ant52,0.005032043528889845,0.003701761246960215,0.003701761247158189,0.0010223502833152144,2,21,N
Ant55,0.01077622780362424,0.011942963452494553,0.011942963451759039,0.006066985701481714,2,21,F
Ant140,0.00987921469573426,0.011206181775067721,0.011206181774994372,0.003332090455179939,2,21,C
Ant147,0.008309202597900602,0.007319682408652489,0.007319682408967055,0.0022445014461980055,2,21,N
Ant144,0.013619617584913018,0.013019499656350719,0.013019499656995826,0.001999465144076029,2,21,C
Ant305,0.006346773633464488,0.00611409548252917,0.006114095482582199,0.0035694045739468124,2,21,C
Ant148,0.00717599917689805,0.0062131124486437634,0.00621311244892398,0.0029994498819903687,2,21,N
Ant673,0.00792012101750802,0.0073477601651346655,0.0073477601654339956,0.0037259704196038407,2,21,U
Ant301,0.008119387418296542,0.006236878925274391,0.006236878925664653,0.0030180113847166853,2,21,0
Ant476,0.01326506851779072,0.012041063949036668,0.012041063949744113,0.0015786773864458713,2,21,N
Ant575,0.008309454132104164,0.008260132967683251,0.008260132967835362,0.0030436807571992018,2,21,C
Ant43,0.01012499249985505,0.012914296669014697,0.012914296667956822,0.004366689370027895,2,21,0
Ant40,0.005231148170031382,0.0058971327903897365,0.005897132789917528,0.00011112596688008113,2,21,0
Ant44,0.013422776705666769,0.012380366110374023,0.012380366110981679,0.004592123805323622,2,21,N
Ant580,0.005477601281399414,0.005986581759192308,0.005986581758692717,0.0005744252226925114,2,21,0
Ant398,0.007650254858030347,0.008669243407155951,0.008669243406556965,0.007243409765211837,2,21,F
Ant507,0.01129854410261001,0.015155349480818776,0.015155349479506816,0.003359583679785887,2,21,0
Ant262,0.005363091948189811,0.005333845886337649,0.0053338458863263,0.0014199512899516638,2,21,C
Ant260,0.011756554693418382,0.012386459064938123,0.012386459065022067,0.01239453485799473,2,21,0
Ant265,0.00995890068902591,0.010185266440654423,0.01018526644062692,0.010315703757664198,2,21,C
Ant264,0.008213382294714104,0.008591896672571177,0.008591896672202193,0.00972590389812722,2,21,0
Ant313,0.009820588741221813,0.009691306008525328,0.009691306008952304,0.002698192471909887,2,21,0
Ant158,0.00915048780828809,0.00903170544127025,0.009031705441410224,0.006610444032376604,2,21,0
Ant311,0.014608436134470621,0.014763945761532735,0.014763945761688295,0.013660485111181427,2,21,0
Ant268,0.01531251988626249,0.01757443343150315,0.01757443343023841,0.011039237292203994,2,21,F
Ant509,0.012253140725731125,0.010361447681814946,0.010361447682353815,0.0028478268384969706,2,21,0
Ant395,0.007579822422045034,0.0071993503817557175,0.007199350381953534,0.0022231638407070407,2,21,C
Ant502,0.003135856522551024,0.002297016191223115,0.0022970161911207965,0.002008570921834692,2,21,C
Ant7,0.01011370895578468,0.011548834045436756,0.011548834045161433,0.013648079020369559,2,21,C
Ant6,0.007469279826403566,0.007016018481631992,0.007016018481870672,0.0028003530715930013,2,21,C
Ant0,0.016220570708116454,0.01494187379963262,0.014941873800345801,0.002487364169956673,2,21,0
Ant2,0.010291771123132268,0.010823804171161192,0.01082380417131211,0.004557095909741708,2,21,C
Ant72,0.01131783855195412,0.01417396816669614,0.014173968165698669,0.007380593886979468,2,21,F
Ant593,0.009892149330482854,0.007740474282161741,0.00774047428240253,0.005752840597322851,2,21,N
Ant592,0.00926795364479661,0.00744556007373726,0.007445560074242444,0.0004478320907183057,2,21,Q
Ant19,0.010989410803691506,0.010302806139217729,0.010302806139685977,0.0037492967964205402,2,21,N
Ant15,0.01085388911027574,0.00972863565373227,0.009728635654336364,0.0012786931536297997,2,21,N
Ant14,0.009116942302934194,0.011641441878103918,0.011641441877087879,0.0004197034853170638,2,21,0
Ant12,0.010115809438559976,0.012236930354752899,0.012236930353684946,0.00011150963432348006,2,21,F
Ant97,0.005926551666171097,0.005049460305766729,0.005049460306025264,0.0012804471941614433,2,21,0
Ant96,0.009117540201255471,0.008084468468057398,0.008084468468409137,0.0024994762991691418,2,21,N
Ant169,0.00971053002498247,0.009838600305319412,0.009838600305622164,0.003139727981648747,2,21,N
Ant298,0.012202927228344072,0.01026956009600024,0.010269560096597205,0.0012943589223387546,2,21,N
Ant296,0.007349636365369893,0.006395852360830098,0.006395852361100772,0.0031607060807663126,2,21,N
Ant294,0.010907151266490478,0.014582764211824589,0.014582764210611162,0.0035331257140256886,2,21,F
Ant99,0.006768737044834747,0.0055786485682004176,0.005578648568442365,0.0020136271866369147,2,21,N
Ant98,0.008248770931834135,0.006692263828193276,0.0066922638285360474,0.0023575907845171133,2,21,N
Ant217,0.013548691415384359,0.01886381252662349,0.01886381252489063,0.0004176899179360733,2,21,F
Ant215,0.018870509225415468,0.022931363635864798,0.022931363634133957,0.006034760639955541,2,21,F
Ant212,0.014532466627780726,0.017752465830968248,0.017752465829894606,0.015107011599058995,2,21,0
Ant210,0.009702373476641574,0.00943266761550163,0.009432667615883293,0.003518348076978269,2,21,C
Ant219,0.006362814979036085,0.004767217278066963,0.00476721727835431,0.0005683974062975121,2,21,N
Ant332,0.011701063633994327,0.010895847549082625,0.010895847549661128,0.0025562623020181645,2,21,N
Ant161,0.006788343631170281,0.005951700206771535,0.0059517002070367895,0.0018763668801591647,2,21,N
Ant60,0.007150052123662409,0.005810593229148375,0.005810593229478907,0.0010611192874802136,2,21,N
Ant62,0.005650467877777757,0.00418039937919784,0.004180399379473505,0.0006618893072247103,2,21,N
Ant63,0.007475435673072833,0.006464601313339721,0.006464601313684516,0.0016981390420981915,2,21,N
Ant65,0.006148773918718671,0.006316926353787305,0.006316926353832622,0.0020683951506769685,2,21,C
Ant604,0.01142790007438906,0.012889933708189518,0.012889933708160406,0.004962814871874502,2,21,C
Ant607,0.01312916999833364,0.0170126098988038,0.017012609897523654,0.002387803666045691,2,21,F
Ant610,0.01089131153632932,0.01075992234084496,0.010759922341180974,0.006705126057564768,2,21,0
Ant178,0.0030327297377839707,0.0024006463360214075,0.0024006463358158775,0.001009557874270941,2,21,C
Ant289,0.010697342577927128,0.012512601035941448,0.012512601035363679,0.009224168604036496,2,21,F
Ant632,0.002873470271480442,0.002399066802625568,0.002399066802421513,0.00037975986854652357,2,21,C
Ant172,0.00499713906414383,0.005711021179509461,0.005711021179043047,0.0002900470841262723,2,21,F
Ant170,0.009499219984301446,0.007783267372598561,0.007783267373002978,0.0024426905175068815,2,21,0
Ant176,0.004819678076458063,0.005142246806824992,0.00514224680644925,0.002077618205232273,2,21,F
Ant174,0.00919168212650627,0.0072973631996719425,0.007297363200097138,0.001447300092018804,2,21,N
