colony,date,antid,Count
N13,8/13/2012,1.0,8
N13,8/13/2012,2.0,11
N13,8/13/2012,3.0,5
N13,8/13/2012,4.0,11
N13,8/13/2012,5.0,6
N13,8/13/2012,6.0,2
N13,8/13/2012,7.0,10
N13,8/13/2012,8.0,5
N13,8/13/2012,9.0,8
N13,8/13/2012,10.0,7
N13,8/14/2012,1.0,8
N13,8/14/2012,2.0,4
N13,8/14/2012,3.0,11
N13,8/14/2012,4.0,10
N13,8/14/2012,5.0,4
N13,8/14/2012,6.0,2
N13,8/14/2012,7.0,6
N13,8/14/2012,8.0,4
N13,8/14/2012,9.0,10
N13,8/14/2012,10.0,3
N13,8/15/2012,1.0,1
N13,8/15/2012,2.0,7
N13,8/15/2012,3.0,5
N13,8/15/2012,4.0,4
N13,8/15/2012,5.0,5
N13,8/15/2012,6.0,8
N13,8/15/2012,7.0,8
N13,8/15/2012,8.0,8
N13,8/15/2012,9.0,6
N13,8/15/2012,10.0,12
N2,8/13/2012,1.0,10
N2,8/13/2012,2.0,10
N2,8/13/2012,3.0,16
N2,8/13/2012,4.0,10
N2,8/13/2012,5.0,8
N2,8/13/2012,6.0,8
N2,8/13/2012,7.0,5
N2,8/13/2012,8.0,7
N2,8/13/2012,9.0,7
N2,8/13/2012,10.0,10
N2,8/14/2012,1.0,2
N2,8/14/2012,2.0,2
N2,8/14/2012,3.0,2
N2,8/14/2012,4.0,3
N2,8/14/2012,5.0,6
N2,8/14/2012,6.0,3
N2,8/14/2012,7.0,2
N2,8/14/2012,8.0,3
N2,8/14/2012,9.0,4
N2,8/14/2012,10.0,3
N2,8/15/2012,1.0,4
N2,8/15/2012,2.0,3
N2,8/15/2012,3.0,3
N2,8/15/2012,4.0,3
N2,8/15/2012,5.0,12
N2,8/15/2012,6.0,6
N2,8/15/2012,7.0,3
N2,8/15/2012,8.0,7
N2,8/15/2012,9.0,0
N2,8/15/2012,10.0,3
N4,8/13/2012,1.0,5
N4,8/13/2012,2.0,2
N4,8/13/2012,3.0,4
N4,8/13/2012,4.0,8
N4,8/13/2012,5.0,20
N4,8/13/2012,6.0,7
N4,8/13/2012,7.0,6
N4,8/13/2012,8.0,6
N4,8/13/2012,9.0,1
N4,8/13/2012,10.0,9
N4,8/14/2012,1.0,13
N4,8/14/2012,2.0,7
N4,8/14/2012,3.0,7
N4,8/14/2012,4.0,11
N4,8/14/2012,5.0,15
N4,8/14/2012,6.0,4
N4,8/14/2012,7.0,15
N4,8/14/2012,8.0,16
N4,8/14/2012,9.0,4
N4,8/14/2012,10.0,10
N4,8/15/2012,1.0,10
N4,8/15/2012,2.0,4
N4,8/15/2012,3.0,14
N4,8/15/2012,4.0,5
N4,8/15/2012,5.0,12
N4,8/15/2012,6.0,19
N4,8/15/2012,7.0,6
N4,8/15/2012,8.0,6
N4,8/15/2012,9.0,18
N4,8/15/2012,10.0,3
