,pagerank,hubs,auth,degcentr,between,indegcentr,outdegcentr,closecentr,evcentr,load,haratio,paratio,phratio,haprod,paprod,phprod,hadiff,padiff,phsum,hasum,pasum,ha_harmonic_mean,hasum_normed,role
ADAL,0.0018281082871491744,0.0002514759692654389,8.999769986220322e-05,0.10714285714285714,0.009346109610607207,0.039285714285714285,0.06785714285714285,0.3634378552482001,0.016454446919418404,0.009498644740993132,2.5148175369230756,18.281503371260605,6.991496359244238,2.2632258804507612e-08,1.6452554094245783e-07,4.597253034330199e-07,0.00016147826940323567,0.0017381105872869712,0.0020795842564146133,0.0003414736691276421,0.0019181059870113776,0.0001325563921946071,0.0003329672076191243,I
ADAR,0.0018909581280295029,0.000167083723382694,0.00016072723539370477,0.10357142857142856,0.00635957449345358,0.04285714285714286,0.060714285714285714,0.3644044452887538,0.022693344835088752,0.006108537494407389,0.9786588706681235,11.075902000456269,10.678328261389506,2.6854904938586913e-08,3.0392847216343724e-07,3.159483247919383e-07,6.356487988989229e-06,0.001730230892635798,0.002058041851412197,0.00032781095877639876,0.0020516853634232075,0.00016384385097329682,0.0003196448494830365,I
ADEL,0.0016706331970226663,0.0002033921352924104,7.787380499512921e-05,0.125,0.011212986024912755,0.024999999999999998,0.09999999999999999,0.3208807293409167,0.008849734866368341,0.012216583058000654,2.314593470758257,19.011731620307877,7.828935188887839,1.5838919481304106e-08,1.3009856380333238e-07,3.397936532328263e-07,0.0001255183302972812,0.0015927593920275372,0.0018740253323150768,0.0002812659402875396,0.0017485070020177955,0.00011262593305902518,0.00027425931544051903,S
ADER,0.0015728040850903741,0.00020423567794027384,8.748492052310893e-05,0.10357142857142856,0.01365374665467968,0.03214285714285714,0.07142857142857142,0.38007232019021203,0.032276543001625926,0.015351454919337797,2.0950489249448534,16.133819227123837,7.341466651174935,1.7867542052588128e-08,1.3759664038255243e-07,3.2122270858566467e-07,0.00011675075741716491,0.0014853191645672651,0.001777039763030648,0.0002917205984633828,0.001660289005613483,0.00012249763744284165,0.0002844535372916971,S
ADFL,0.0014690616615813195,2.2124040864205398e-05,2.1805934093103053e-05,0.039285714285714285,0.0005857179269849177,0.010714285714285714,0.02857142857142857,0.27736046847888957,0.0019465687281306524,0.0006184816876861166,0.6955947528358514,46.18828855272883,45.73091124467592,4.824353769579816e-10,3.203426177114671e-08,3.250158023286259e-08,3.1810677110234495e-07,0.0014472557274882165,0.0014911857024455248,4.3929974957308455e-05,0.0014908675956744224,2.1963835737526218e-05,4.283563394413707e-05,S
ADFR,0.00199618996267397,2.9355075343242407e-05,3.473990696053387e-05,0.08571428571428572,0.004602662643266076,0.03571428571428571,0.049999999999999996,0.3455638623671411,0.00950242841354406,0.0050507284390533,0.6561273220603077,44.61766012242395,50.72255472169315,1.0197925862437032e-09,6.934745357884529e-08,5.8598306753718634e-08,-5.3848316172914635e-06,0.001961450055713436,0.0020255450380172123,6.409498230377627e-05,0.0020309298696345036,3.182129238792598e-05,6.249831014674269e-05,S
ADLL,0.0013571273659032223,0.00022898503155060156,5.2320517701907975e-05,0.08928571428571429,0.010644454723154718,0.024999999999999998,0.06428571428571428,0.3455638623671411,0.012409897288988234,0.01134048195412898,3.6743120884503027,21.776574007209714,5.678712834430681,1.1980615396715204e-08,7.100560637148329e-08,3.1076185269953413e-07,0.0001766645138486936,0.0013048068482013142,0.001586112397453824,0.00028130554925250955,0.0014094478836051303,8.517866375939133e-05,0.000274297937705294,S
ADLR,0.0012536529496526359,0.00015471075831804558,8.319761725879253e-06,0.06785714285714285,0.0017880303328999378,0.010714285714285714,0.05714285714285714,0.2813471692578469,0.0017585073638701093,0.0020286882383918764,8.4450202264091,68.43172790187953,7.611239013494886,1.287156645636231e-09,1.043009382805563e-08,1.939535985084139e-07,0.00014639099659216633,0.0012453331879267566,0.0014083637079706814,0.00016303052004392482,0.0012619727113785152,1.5790376492566374e-05,0.00015896926153749255,S
AFDL,0.0018588305621431837,8.556707879998973e-07,4.261840903179055e-06,0.03214285714285714,0.0008720828457754841,0.017857142857142856,0.014285714285714285,0.29529325738916257,0.003592029901958518,0.0010620779276763169,0.05999721871873937,130.33594854706578,171.23129454128036,3.646732763953417e-12,7.922040121821138e-09,1.59054701186735e-09,-3.4061701151791583e-06,0.0018545687212400046,0.0018596862329311836,5.1175116911789525e-06,0.0018630924030463628,1.425197628855166e-06,4.9900291935339255e-06,S
AFDR,0.002032014170445507,8.474817821767795e-07,4.655233495694006e-06,0.039285714285714285,0.0007846591406997151,0.024999999999999998,0.014285714285714285,0.31425704456094367,0.005449729274817123,0.0010370782383271181,0.05782792764276231,138.65450666770695,187.32588920170002,3.945225579379795e-12,9.459500429982794e-09,1.7220949905776286e-09,-3.807751713517227e-06,0.0020273589369498132,0.0020328616522276837,5.5027152778707855e-06,0.002036669403941201,1.4339195761211024e-06,5.365636961340197e-06,S
AIAL,0.004448820220117208,6.213649773804915e-06,0.00014910237256249127,0.11071428571428571,0.011643237449122596,0.05714285714285714,0.05357142857142857,0.3072109224855862,0.0048427479344753475,0.012208230703589276,0.03905441304066258,27.961997979444508,274.3873391976683,9.264699235467001e-10,6.633296499234605e-07,2.7643410754430025e-08,-0.00014288872278868636,0.004299717847554717,0.004455033869891013,0.00015531602233629619,0.0045979225926796995,1.1930126842170501e-05,0.0001514469399293422,I
AIAR,0.0034736165681805813,7.277087097858824e-06,6.116184902593905e-05,0.09642857142857142,0.008419982520864767,0.049999999999999996,0.04642857142857143,0.3051582882596246,0.005272588664819959,0.008402705672534509,0.10226107384037013,48.81290488832606,201.0533690376008,4.4508010242785033e-10,2.1245281211706123e-07,2.5277810311215554e-08,-5.388476192808023e-05,0.003412454719154642,0.00348089365527844,6.843893612379787e-05,0.0035347784172065203,1.3006634165754812e-05,6.673405159402354e-05,I
AIBL,0.007260101556471676,0.0001649309868983076,0.00029634256404500797,0.15714285714285714,0.023565031007208276,0.09642857142857142,0.060714285714285714,0.40778592687074827,0.04102119453041839,0.022878834271120946,0.5383874337295025,23.699290952611527,41.50266162216406,4.887607154791809e-08,2.1514771104719696e-06,1.1974157146908125e-06,-0.00013141157714670036,0.006963758992426667,0.007425032543369983,0.0004612735509433156,0.007556444120516684,0.00021191794521045198,0.0004497827507418807,I
